Timestamp,EventType,BallsLeft,PlayerLives,EnemyLives,Corner
17:39:23.567,Init,0,3,3,0
17:39:23.567,ResetScene,0,3,3,0
17:39:23.624,ResetScene,0,3,3,0
17:39:23.662,ResetScene,0,3,3,0
17:39:23.711,ResetScene,0,3,3,0
17:39:23.757,ResetScene,0,3,3,0
17:39:23.807,ResetScene,0,3,3,0
17:39:23.852,ResetScene,0,3,3,0
17:39:23.889,ResetScene,0,3,3,0
17:39:23.923,ResetScene,0,3,3,0
17:39:23.957,ResetScene,0,3,3,0
17:39:23.994,ResetScene,0,3,3,0
17:39:24.031,ResetScene,0,3,3,0
17:39:24.071,ResetScene,0,3,3,0
17:39:24.110,ResetScene,0,3,3,0
17:39:24.149,ResetScene,0,3,3,0
17:39:24.191,ResetScene,0,3,3,0
17:39:24.229,ResetScene,0,3,3,0
17:39:24.267,ResetScene,0,3,3,0
17:39:24.315,ResetScene,0,3,3,0
17:39:24.349,ResetScene,0,3,3,0
17:39:24.391,ResetScene,0,3,3,0
17:39:24.426,ResetScene,0,3,3,0
17:39:24.460,ResetScene,0,3,3,0
17:39:24.496,ResetScene,0,3,3,0
17:39:24.528,ResetScene,0,3,3,0
17:39:24.568,ResetScene,0,3,3,0
17:39:24.606,ResetScene,0,3,3,0
17:39:24.656,ResetScene,0,3,3,0
17:39:24.710,ResetScene,0,3,3,0
17:39:24.763,ResetScene,0,3,3,0
17:39:24.820,ResetScene,0,3,3,0
17:39:24.867,ResetScene,0,3,3,0
17:39:24.906,ResetScene,0,3,3,0
17:39:24.951,ResetScene,0,3,3,0
17:39:24.999,ResetScene,0,3,3,0
17:39:25.040,ResetScene,0,3,3,0
